GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
easyms-secured-sample-ms,com.easyms.sampleapp.converter,ClientConverter,32,22,7,1,1,8,8,2,4,2
easyms-secured-sample-ms,com.easyms.sampleapp.converter,ClientRequestConverter,51,0,8,0,8,0,10,0,6,0
easyms-secured-sample-ms,com.easyms.sampleapp.utils,SampleAppMessages,0,12,0,0,0,4,0,2,0,2
easyms-secured-sample-ms,com.easyms.sampleapp.model.entity,Client,199,15,38,0,3,5,29,5,10,5
easyms-secured-sample-ms,com.easyms.sampleapp.model.entity,Client.ClientBuilder,45,0,0,0,1,0,7,0,7,0
easyms-secured-sample-ms,com.easyms.sampleapp.model.dto,ClientDto.ClientDtoBuilder,10,35,0,0,0,1,1,6,1,6
easyms-secured-sample-ms,com.easyms.sampleapp.model.dto,ClientRequest.ClientRequestBuilder,36,0,0,0,1,0,6,0,6,0
easyms-secured-sample-ms,com.easyms.sampleapp.model.dto,ClientRequest,171,0,30,0,7,0,28,0,13,0
easyms-secured-sample-ms,com.easyms.sampleapp.model.dto,ClientDto,180,31,38,0,1,6,27,6,8,6
easyms-secured-sample-ms,com.easyms.sampleapp.api,ClientResource,48,32,0,0,9,4,3,5,3,5
easyms-secured-sample-ms,com.easyms.sampleapp.service,ClientService,42,19,0,0,7,3,4,3,4,3
easyms-secured-sample-ms,com.easyms.sampleapp.service,ClientValidationService,20,10,0,0,5,2,2,2,2,2
easyms-secured-sample-ms,com.easyms.sampleapp,EasyMsSecuredSampleApplication,25,3,0,0,4,1,1,1,1,1
easyms-secured-sample-ms,com.easyms.sampleapp.config,EasyMsSampleMsConfiguration,0,7,0,0,0,2,0,2,0,2
